"topic","uniqueName"
"Should the US government invest more in public transportation infrastructure?","fundPublicTransit"
"Should the US adopt a policy of universal free lunch in schools?","universalFreeLunch"
"Should the government impose a luxury tax on high-end goods?","luxuryTax"
"Should the US government regulate the pharmaceutical industry more strictly?","regulatePharma"
"Should the US provide more funding for renewable energy research?","fundRenewables"
"Should there be a ban on advertising prescription drugs to consumers?","banPrescriptionDrugAds"
"Should public school teachers be required to undergo periodic evaluations?","evaluateTeachers"
"Should the government impose stricter regulations on payday lenders?","regulatePaydayLenders"
"Should the US ban hydraulic fracturing (fracking)?","banFracking"
"Should the government provide more funding for public housing?","fundPublicHousing"
"Should the United States implement a universal preschool program?","universalPreschool"
"Should there be a ban on genetic modification of crops?","banGMOCrops"
"Should the US government fund needle exchange programs?","fundNeedleExchange"
"Should the United States ban the export of military-grade weapons?","banWeaponsExport"
"Should the government impose stricter regulations on mining practices?","regulateMining"
"Should the US adopt a single-payer health care system?","singlePayerHealthcare"
"Should the US government pass a bill to protect access to contraception?","protectContraceptionAccess"
